type_chaussures;prix;adresse;image_lien
Baskets New Balance;16 900 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5675114_uploaded_image1_1765885442.jpg
Sandales Alexandre MC Queen;5 000 CFA;Rufisque, Sénégal;
Chaussures  homme;1 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5716365_uploaded_image1_1768211528.jpg
Chaussures  homme;8 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures homme;13 500 CFA;Guediawaye, Dakar, Sénégal;https://images.coinafrique.com/thumb_5668243_uploaded_image1_1765485052.jpg
Chaussures homme;25 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5716365_uploaded_image1_1768211528.jpg
Chaussures hommes;25 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5716365_uploaded_image1_1768211528.jpg
Chaussures  homme;6 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Sneakers homme;15 000 CFA;Almadies, Dakar, Sénégal;https://images.coinafrique.com/thumb_3359412_uploaded_image1_1633000700.jpg
Chaussures en cuir;16 000 CFA;Almadies, Dakar, Sénégal;https://images.coinafrique.com/thumb_4366157_uploaded_image1_1694038027.jpg
Sandale Orthopédique Birkenstock;29 500 CFA;Mermoz-Sacré Coeur, Dakar, Sénégal;https://images.coinafrique.com/thumb_5085829_uploaded_image1_1733870021.jpg
Baskets Nike;25 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5118035_uploaded_image1_1735932607.jpg
Babouches  homme;10 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5616251_uploaded_image1_1762866056.jpg
Babouches  homme;10 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5616251_uploaded_image1_1762866056.jpg
Balenciaga;25 000 CFA;Parcelle Assainies, Dakar, Sénégal;https://images.coinafrique.com/thumb_4695847_uploaded_image1_1713306917.jpg
Babouches  homme;10 000 CFA;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_3760788_uploaded_image1_1656346598.jpg
Babouches  homme;18 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5616251_uploaded_image1_1762866056.jpg
Tapettes homme;15 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5351718_uploaded_image2_1748579763.jpeg
Babouches  homme;10 000 CFA;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_3760788_uploaded_image1_1656346598.jpg
Chaussures homme;20 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5769564_uploaded_image1_1770816182.jpg
