web_scraper_order,web_scraper_start_url,container_link,type_habits,prix,adresse,image_lien
"1771103964-47","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-5248283","T-shirt","Prix sur demande","Diourbel, Sénégal","https://images.coinafrique.com/thumb_5248289_uploaded_image1_1742818871.jpg"
"1771103966-48","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-5248289","T-shirt","2 000 CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_5248289_uploaded_image1_1742818871.jpg"
"1771103969-49","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-homme-5206275","Pantalon  homme","7 500 CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_5206275_uploaded_image1_1740684650.jpg"
"1771103971-50","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/jalaba-homme-en-coton-5252041","Jalaba homme en coton","15 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5252041_uploaded_image1_1743008069.jpg"
"1771103974-51","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/jalaba-homme-5252052","Jalaba homme","15 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5252052_uploaded_image1_1743008264.jpg"
"1771103976-52","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/sous-vetements-5252668","Sous-vêtements","5 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5276271_uploaded_image1_1744319968.jpg"
"1771103978-53","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/t-shirts-unique-5252675","T-shirts unique","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5252675_uploaded_image1_1743039854.jpg"
"1771103981-54","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/chemise-homme-5210987","Chemise homme","27 000 CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_5210987_uploaded_image1_1740960866.jpg"
"1771103983-55","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/dialabe-pour-homme-5208678","Dialabé pour homme","10 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5226125_uploaded_image1_1741685568.jpg"
"1771103988-56","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-vetements-homme-5255096","Ensemble vêtements homme","10 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3650018_uploaded_image1_1649757791.jpg"
"1771103991-57","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/dialab-coton-ensemble-taille-56-58-60-62-5214576","Dialab coton ensemble taille 56 58 60 62","10 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5214576_uploaded_image1_1741111442.jpg"
"1771103993-58","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/dialab-taille-56-58-60-62-5214570","Dialab taille 56 58 60 62","10 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5214570_uploaded_image1_1741111198.jpg"
